Latitude,Longitude
37.73258329515529,-122.44760112052843
37.710540816744555,-122.4290402052705
37.783190831894444,-122.41008383799263
37.73393581276063,-122.39047075343291
37.76793144706327,-122.45755096408712
37.75470135087087,-122.42716014396869
37.752662455868574,-122.49607126022637
37.804256837871684,-122.44461236077647
37.78073229533278,-122.43234166345391
37.798753717776755,-122.39909656462662
37.75115940001961,-122.40566468173994
37.71242156917325,-122.41207826296117
37.7289423011773,-122.47565273140751
37.80022387158255,-122.41834572663979
37.7751376431773,-122.49854614592651
37.711283705104684,-122.4446939970788
37.76470640727717,-122.41950441659992
37.775424389340046,-122.40346182117914
37.7297269004472,-122.41774373131798
37.783069935970445,-122.41404816958139
37.78156965081798,-122.47169221817951
37.76115976093726,-122.47091653077274
37.793750275002715,-122.38487822402456
37.721503790921155,-122.39452559097424
37.72575985457214,-122.46265375316655
37.76077278008053,-122.43517231368968
37.7422254339558,-122.4217370324196
41.101424400991704,-122.24810492041308
37.72869007508706,-122.43152171126425
37.78356965876313,-122.44189244846662
37.7482956356303,-122.47149271221629
37.757671088083676,-122.3892638541944
37.775494895996076,-122.41203380027406
37.72918697978358,-122.38618881430772
37.71157705559953,-122.45988996587771
37.72953381758952,-122.4050592213277
37.77181925154063,-122.42302245737808
37.75297289515989,-122.41791901248308
37.78648406043938,-122.42142763571654
37.787344237991945,-122.40257195238561
37.77924160213203,-122.48566614481788
37.79435352060239,-122.40690881294886
37.76468972842023,-122.4496619053137
37.80755444092816,-122.4112967994112
37.78197726497855,-122.39638449480728
37.74013711561106,-122.49340310748465
37.79604013644105,-122.43538228545121
37.75468038308484,-122.50552762918822
37.72143067872986,-122.4393460745992
37.744223969469886,-122.43822781543406
37.76569101661521,-122.40942160107231
37.736769625206,-122.45998989581015
37.7212145104164,-122.4472954306519
37.776336547044274,-122.4243143355656
37.78043330049809,-122.46443864822147
37.774764043782156,-122.51005334077414
37.77291952083241,-122.43867282385932
37.716424416701635,-122.4944612133392
37.76371687989707,-122.3973004490885
37.74509735045978,-122.45200605408026
37.712017984983156,-122.40546937887538
37.76076702165618,-122.48683598692091
37.73771411973482,-122.41476242211549
37.718761642590145,-122.3884282483267
37.718258161342305,-122.48217880161026
37.78098298184841,-122.4573937221539
37.741724843380865,-122.40544634378534
37.75476571808242,-122.40021385730084
37.7805949079481,-122.41497194384442
37.75745027115148,-122.46345760187666
